order_id,customer_id,product_id,order_date,quantity
O00001,C0275,P048,2025-07-01,2
O00002,C0638,P078,2025-04-18,1
O00003,C1625,P082,2025-12-12,5
O00004,C0041,P007,2025-08-13,4
O00005,C1188,P061,2025-11-28,2
O00006,C0483,P092,2025-04-21,4
O00007,C0192,P032,2025-10-29,4
O00008,C0647,P085,2025-11-07,3
O00009,C1279,P020,2025-11-21,5
O00010,C1839,P050,2025-03-15,1
O00011,C1188,P069,2025-06-14,5
O00012,C0151,P083,2025-08-04,1
O00013,C1035,P023,2025-10-06,3
O00014,C0030,P018,2025-07-31,1
O00015,C1871,P081,2025-06-13,2
O00016,C0480,P088,2025-06-18,4
O00017,C0730,P079,2025-05-23,2
O00018,C1989,P035,2025-05-18,2
O00019,C1948,P098,2025-08-04,3
O00020,C0602,P100,2025-08-16,4
O00021,C0451,P072,2025-05-06,1
O00022,C0570,P092,2025-07-11,5
O00023,C0498,P083,2026-02-17,5
O00024,C0738,P024,2026-03-02,3
O00025,C0296,P026,2026-01-20,4
O00026,C0157,P076,2025-05-22,4
O00027,C1998,P087,2025-05-11,1
O00028,C1408,P030,2025-10-11,1
O00029,C0656,P095,2025-07-30,3
O00030,C0213,P038,2025-06-03,1
O00031,C1161,P064,2025-09-30,2
O00032,C0872,P029,2025-11-16,3
O00033,C0251,P015,2026-01-22,1
O00034,C1847,P004,2025-11-15,3
O00035,C1513,P081,2026-01-21,3
O00036,C0689,P068,2025-12-14,1
O00037,C1699,P028,2025-05-20,3
O00038,C0544,P052,2026-02-21,5
O00039,C0032,P087,2025-03-26,5
O00040,C1931,P039,2026-01-01,2
O00041,C0411,P013,2025-09-03,5
O00042,C0313,P064,2026-01-06,1
O00043,C1202,P093,2026-01-07,4
O00044,C0880,P002,2025-08-17,1
O00045,C1541,P001,2025-03-22,4
O00046,C0160,P066,2025-11-26,1
O00047,C0091,P064,2025-03-09,1
O00048,C1658,P063,2025-06-20,5
O00049,C0355,P079,2026-01-21,4
