return_id,order_id,product_id,return_date,reason
R00001,O01211,P097,2026-01-15,Defective
R00002,O06530,P041,2026-02-01,Defective
R00003,O06466,P044,2026-01-08,Customer Changed Mind
R00004,O03701,P073,2026-03-07,Damaged
R00005,O01093,P030,2026-02-14,Wrong Item
R00006,O06067,P083,2025-10-19,Damaged
R00007,O01471,P014,2026-02-04,Defective
R00008,O01876,P012,2026-03-04,Defective
R00009,O08101,P004,2025-10-30,Wrong Item
R00010,O02787,P033,2026-03-07,Wrong Item
R00011,O06103,P063,2025-11-15,Damaged
R00012,O01088,P021,2026-02-23,Customer Changed Mind
R00013,O07088,P049,2026-02-13,Defective
R00014,O06901,P026,2026-02-04,Customer Changed Mind
R00015,O04904,P069,2026-03-02,Defective
R00016,O01679,P069,2026-01-12,Customer Changed Mind
R00017,O04880,P089,2025-05-02,Defective
R00018,O04790,P033,2026-01-17,Defective
R00019,O04894,P058,2026-03-04,Damaged
R00020,O04577,P099,2026-02-27,Customer Changed Mind
R00021,O03728,P080,2026-01-15,Wrong Item
R00022,O02377,P097,2025-11-10,Customer Changed Mind
R00023,O03426,P007,2025-12-31,Defective
R00024,O01117,P031,2026-02-16,Damaged
R00025,O03676,P053,2026-02-09,Damaged
R00026,O04773,P047,2025-06-23,Defective
R00027,O00974,P082,2026-03-09,Damaged
R00028,O08720,P035,2026-02-10,Wrong Item
R00029,O06810,P041,2025-12-26,Damaged
R00030,O05342,P012,2026-01-04,Wrong Item
R00031,O08791,P056,2026-02-28,Damaged
R00032,O08920,P052,2025-09-25,Customer Changed Mind
R00033,O08362,P039,2025-12-16,Customer Changed Mind
R00034,O00009,P020,2026-02-01,Defective
R00035,O00568,P086,2025-08-26,Defective
R00036,O04700,P092,2026-01-19,Defective
R00037,O09811,P086,2026-02-15,Wrong Item
R00038,O03241,P072,2026-03-05,Customer Changed Mind
R00039,O08510,P088,2026-02-02,Damaged
R00040,O04979,P019,2026-02-28,Damaged
R00041,O02871,P035,2025-12-01,Customer Changed Mind
R00042,O04801,P068,2025-11-26,Customer Changed Mind
R00043,O05181,P047,2026-02-04,Damaged
R00044,O03056,P067,2026-01-18,Customer Changed Mind
R00045,O04644,P057,2025-10-21,Wrong Item
R00046,O08620,P051,2025-11-14,Defective
R00047,O09090,P025,2025-12-18,Defective
R00048,O03492,P004,2026-02-06,Wrong Item
R00049,O06471,P052,2026-01-25,Customer Changed Mind
R00050,O08644,P008,2026-02-13,Customer Changed Mind
R00051,O03937,P056,2026-03-05,Damaged
R00052,O08032,P086,2026-02-18,Wrong Item
R00053,O08681,P006,2026-02-01,Defective
R00054,O08966,P035,2025-10-04,Customer Changed Mind
R00055,O01456,P079,2026-01-07,Damaged
R00056,O02409,P047,2025-09-20,Damaged
R00057,O08850,P082,2026-01-25,Damaged
R00058,O09627,P043,2026-01-30,Wrong Item
R00059,O00966,P070,2026-03-09,Damaged
R00060,O03853,P058,2025-09-20,Wrong Item
R00061,O04783,P016,2025-09-25,Damaged
R00062,O08402,P072,2025-11-11,Customer Changed Mind
R00063,O03230,P065,2025-12-08,Wrong Item
R00064,O01702,P080,2026-03-07,Customer Changed Mind
R00065,O07180,P013,2026-02-06,Customer Changed Mind
R00066,O02176,P076,2025-07-07,Damaged
R00067,O04062,P015,2026-01-06,Customer Changed Mind
R00068,O02115,P022,2026-01-22,Wrong Item
R00069,O06744,P046,2025-11-14,Customer Changed Mind
R00070,O04435,P016,2026-03-08,Defective
R00071,O03062,P084,2026-03-02,Wrong Item
R00072,O02092,P068,2025-11-20,Customer Changed Mind
R00073,O05651,P059,2025-10-20,Defective
R00074,O02675,P100,2026-02-04,Defective
R00075,O03429,P098,2026-01-11,Wrong Item
R00076,O05334,P100,2026-02-24,Wrong Item
R00077,O05506,P053,2026-02-13,Defective
R00078,O00247,P084,2025-06-26,Damaged
R00079,O01410,P076,2026-02-09,Wrong Item
R00080,O00837,P014,2026-02-09,Defective
R00081,O08034,P053,2025-12-31,Defective
R00082,O09930,P067,2025-12-09,Defective
R00083,O09562,P049,2026-03-06,Defective
R00084,O01265,P004,2025-08-12,Damaged
R00085,O00343,P093,2026-02-04,Customer Changed Mind
R00086,O07646,P063,2025-05-07,Customer Changed Mind
R00087,O08210,P081,2025-11-10,Damaged
R00088,O08457,P017,2026-01-10,Defective
