movement_id,product_id,movement_type,quantity,movement_date
M000001,P004,OUT,85,2025-06-21
M000002,P031,IN,195,2025-11-16
M000003,P085,IN,153,2025-12-24
M000004,P055,IN,98,2025-04-02
M000005,P006,IN,119,2025-10-16
M000006,P072,OUT,48,2025-06-18
M000007,P030,IN,137,2025-06-07
M000008,P067,IN,152,2025-10-10
M000009,P014,OUT,110,2025-10-17
M000010,P052,OUT,94,2026-01-08
M000011,P099,OUT,181,2025-10-24
M000012,P090,IN,117,2025-03-27
M000013,P098,IN,126,2025-07-24
M000014,P063,OUT,197,2025-07-11
M000015,P072,OUT,50,2025-09-11
M000016,P075,OUT,115,2025-06-02
M000017,P010,IN,81,2025-09-29
M000018,P092,OUT,126,2025-06-05
M000019,P093,OUT,20,2025-03-23
M000020,P004,OUT,22,2026-03-07
M000021,P056,IN,41,2025-03-09
M000022,P053,OUT,15,2025-04-03
M000023,P079,OUT,137,2026-02-24
M000024,P100,IN,97,2025-11-15
M000025,P007,OUT,17,2025-11-05
M000026,P030,IN,40,2026-01-28
M000027,P025,OUT,1,2025-09-03
M000028,P024,OUT,3,2025-04-13
M000029,P026,IN,149,2026-01-24
M000030,P057,IN,156,2025-12-30
M000031,P037,IN,36,2025-07-12
M000032,P047,OUT,158,2025-03-30
M000033,P063,OUT,45,2025-10-04
M000034,P025,IN,98,2025-09-10
M000035,P040,OUT,197,2025-12-20
M000036,P018,IN,19,2025-04-09
M000037,P001,OUT,143,2025-04-25
M000038,P051,OUT,108,2026-01-22
M000039,P074,IN,106,2026-02-24
M000040,P003,IN,192,2025-06-28
M000041,P061,OUT,16,2025-06-27
M000042,P099,IN,141,2025-11-02
M000043,P065,OUT,136,2025-09-20
M000044,P031,OUT,96,2025-04-01
M000045,P060,IN,91,2025-07-18
M000046,P056,OUT,111,2025-12-21
M000047,P076,OUT,94,2025-07-04
M000048,P071,IN,166,2025-10-07
M000049,P010,OUT,120,2025-04-09
M000050,P065,IN,88,2025-06-11
